N,P,K,pH,moisture,zone
128.9,36.5,93.5,5.56,51.8,1
118.3,27.2,60.5,7.68,22.1,2
44.8,17.9,69.6,5.39,36.3,2
43.7,19.3,45.6,4.65,17.8,2
118.5,41.6,90.5,5.9,57.6,1
124.1,55.4,148.7,5.65,48.5,1
145.2,45.0,109.7,5.63,48.3,1
166.3,30.1,97.0,5.8,46.0,1
217.7,73.0,180.4,6.41,64.6,0
63.2,15.0,29.5,4.65,25.0,2
124.1,36.2,82.3,5.62,52.4,1
47.7,13.7,67.5,4.8,20.0,2
183.4,79.7,168.7,6.3,76.3,0
207.8,68.2,158.7,6.13,65.0,0
41.5,10.2,59.0,5.07,29.2,2
58.2,25.1,41.3,5.27,24.8,2
163.3,57.8,113.7,5.54,50.4,1
68.9,17.5,96.5,7.37,43.3,2
204.7,74.0,178.0,6.01,66.5,0
34.7,20.9,72.0,5.23,31.4,2
60.7,8.9,24.9,4.52,19.0,2
106.0,38.0,135.7,5.68,50.4,1
72.4,14.9,87.0,7.21,39.0,2
180.5,73.3,158.9,6.77,63.0,0
117.6,21.8,47.8,7.7,41.9,2
123.5,33.1,133.9,5.76,40.9,1
46.9,27.0,44.0,4.63,32.2,2
68.0,24.0,53.6,7.77,47.6,2
74.7,10.6,56.9,5.17,20.2,2
185.7,75.2,180.9,6.08,61.7,0
151.4,48.0,104.3,5.84,49.0,1
214.7,69.7,194.7,6.64,68.5,0
72.1,11.7,76.6,7.32,31.6,2
150.9,41.5,129.2,5.58,56.9,1
202.7,74.8,193.9,6.32,66.5,0
51.8,17.5,78.8,4.62,31.2,2
152.8,48.4,91.5,5.85,48.1,1
77.3,18.8,59.4,5.2,35.7,2
181.3,78.7,152.6,6.43,74.2,0
217.5,73.8,153.4,6.24,74.2,0
146.9,32.1,122.9,5.89,43.6,1
152.4,51.5,138.5,5.67,45.8,1
137.0,38.7,121.3,5.62,45.7,1
24.3,19.4,73.2,4.84,20.2,2
65.2,24.3,64.8,4.64,18.6,2
168.4,34.6,101.4,5.62,56.6,1
93.8,11.0,27.1,5.03,38.3,2
193.5,63.6,189.5,6.53,70.0,0
81.3,13.7,52.4,7.1,21.2,2
128.4,57.7,114.5,5.67,48.7,1
200.1,76.0,182.5,6.56,75.9,0
186.8,65.6,158.9,6.07,62.4,0
197.1,67.7,184.0,6.17,79.0,0
197.1,76.4,193.0,6.01,70.2,0
195.5,72.9,172.9,6.44,78.8,0
206.3,71.4,154.7,6.29,65.3,0
194.7,77.3,173.7,6.77,63.7,0
34.4,24.8,36.9,5.33,38.3,2
199.0,76.9,190.3,6.47,77.4,0
51.3,8.2,29.4,5.35,36.1,2
85.0,30.2,54.3,7.78,42.8,2
93.8,21.5,68.6,5.0,33.7,2
218.0,63.0,171.6,6.75,68.4,0
64.5,17.0,24.1,4.58,29.4,2
141.0,32.0,135.2,5.59,50.3,1
29.3,9.0,20.1,5.15,32.6,2
186.1,71.7,175.3,6.49,60.4,0
111.9,20.3,81.0,7.12,40.7,2
164.9,43.3,104.7,5.7,55.7,1
79.6,33.6,51.7,7.84,39.5,2
140.1,55.4,114.1,5.78,58.9,1
138.2,53.4,118.0,5.52,52.0,1
66.8,13.5,23.1,4.53,25.2,2
182.1,70.6,177.0,6.51,74.5,0
27.8,28.0,55.4,5.16,22.6,2
102.0,54.3,80.8,5.78,58.4,1
44.0,27.4,27.0,5.34,31.4,2
33.6,17.0,44.3,5.28,30.2,2
62.1,7.8,55.7,4.61,23.1,2
95.1,5.5,78.0,4.58,34.5,2
90.2,18.9,57.3,4.64,26.4,2
189.5,67.5,161.4,6.06,72.1,0
71.3,24.3,62.2,5.03,16.3,2
146.3,34.9,130.8,5.85,44.1,1
175.2,47.4,136.5,5.85,44.3,1
161.2,49.2,92.8,5.57,41.9,1
127.3,34.5,81.8,5.76,52.1,1
200.8,77.0,177.6,6.45,77.5,0
115.9,28.7,84.5,7.82,45.4,2
147.6,54.0,147.9,5.62,58.3,1
176.5,38.6,133.1,5.75,47.3,1
207.8,77.2,189.0,6.03,69.6,0
188.0,63.3,155.2,6.51,74.1,0
22.7,14.4,61.1,4.67,30.4,2
89.5,10.8,52.9,4.54,31.0,2
118.0,58.0,142.8,5.79,50.1,1
37.0,15.2,73.6,4.96,19.5,2
136.5,30.3,97.0,5.79,58.8,1
150.0,50.4,80.3,5.57,53.5,1
77.7,13.8,57.8,4.92,19.6,2
202.3,71.4,164.0,6.62,63.7,0
124.9,50.0,110.2,5.6,56.0,1
141.9,31.2,146.8,5.82,45.6,1
79.3,23.7,55.4,7.78,35.4,2
36.8,20.9,44.3,4.86,36.2,2
100.3,13.3,42.1,7.99,27.0,2
71.3,7.5,43.7,5.16,33.7,2
55.7,9.4,70.4,5.29,26.2,2
183.7,78.3,156.8,6.76,68.9,0
209.5,64.8,155.5,6.28,65.7,0
167.2,46.3,116.1,5.55,56.3,1
147.4,45.0,143.4,5.7,58.9,1
201.6,75.8,165.9,6.5,77.7,0
41.1,5.4,76.9,4.73,31.2,2
219.6,68.3,168.6,6.62,66.8,0
181.5,72.2,175.1,6.04,65.6,0
122.7,40.7,84.0,5.54,49.8,1
83.4,28.1,51.6,4.94,24.6,2
119.1,57.9,93.6,5.88,58.9,1
51.8,21.1,60.2,4.78,18.2,2
134.6,36.8,128.6,5.83,50.4,1
216.8,66.9,167.3,6.59,69.0,0
90.3,16.2,70.3,7.38,32.8,2
168.7,33.8,134.5,5.55,55.1,1
43.2,17.6,61.2,5.31,34.0,2
209.5,71.1,180.6,6.34,65.0,0
219.6,66.4,190.5,6.2,73.6,0
97.8,19.9,70.0,7.68,35.3,2
21.3,22.5,39.1,5.1,28.4,2
84.9,25.2,48.6,4.8,34.0,2
174.0,46.1,101.1,5.66,48.5,1
63.3,6.6,65.2,5.03,33.8,2
205.0,62.6,151.6,6.74,72.3,0
91.2,22.8,76.9,7.17,22.6,2
36.6,24.4,28.7,4.81,35.8,2
120.3,38.3,101.2,5.82,50.2,1
38.8,6.2,62.8,4.6,29.6,2
95.0,28.0,81.8,7.43,44.7,2
217.1,68.6,198.3,6.77,77.1,0
32.8,16.3,52.7,5.01,20.0,2
180.8,79.4,191.6,6.17,63.6,0
171.0,52.7,133.8,5.68,47.6,1
142.3,36.2,80.8,5.6,58.5,1
110.3,27.3,93.4,7.64,44.3,2
121.1,54.2,81.0,5.65,46.4,1
111.2,33.5,100.9,5.54,53.2,1
83.3,36.9,71.5,7.74,27.6,2
147.9,40.6,95.0,5.9,48.6,1
137.6,44.4,94.1,5.74,43.5,1
213.4,66.4,159.3,6.03,71.8,0
189.7,73.4,188.1,6.19,74.6,0
210.1,63.2,194.0,6.7,60.6,0
115.4,37.3,89.2,7.9,26.0,2
183.3,72.1,162.3,6.31,65.8,0
167.3,36.0,144.2,5.55,55.5,1
187.3,66.1,176.2,6.35,65.8,0
207.9,65.9,196.2,6.78,78.9,0
132.0,56.3,102.2,5.69,44.3,1
54.9,13.0,43.3,4.98,18.9,2
124.6,47.7,129.4,5.61,47.9,1
194.3,62.3,183.6,6.42,75.4,0
126.5,35.0,129.1,5.83,41.9,1
212.1,65.6,158.9,6.6,76.1,0
211.7,75.8,154.6,6.4,61.2,0
198.2,70.3,174.4,6.53,62.8,0
192.8,79.0,197.5,6.46,72.6,0
102.4,20.7,78.1,7.27,42.5,2
21.3,20.9,55.5,4.65,20.6,2
91.7,28.8,32.3,4.82,31.1,2
160.5,34.6,122.1,5.55,54.3,1
152.9,58.8,125.7,5.72,53.9,1
161.3,37.9,114.3,5.61,42.5,1
115.4,19.1,86.9,7.79,40.7,2
73.7,11.9,69.2,7.2,27.5,2
211.4,64.0,175.7,6.47,60.9,0
36.2,13.2,50.1,5.05,36.9,2
175.4,53.8,80.1,5.75,41.0,1
216.0,60.9,164.0,6.76,77.8,0
202.2,74.4,161.4,6.8,79.5,0
170.7,48.5,122.4,5.53,49.8,1
55.0,6.2,68.4,5.24,29.1,2
26.6,10.1,64.4,4.55,26.8,2
143.8,30.2,132.5,5.51,54.2,1
71.3,27.5,23.8,5.24,22.0,2
116.0,57.8,105.4,5.63,42.8,1
121.3,58.0,118.5,5.64,51.0,1
185.6,72.8,159.1,6.28,77.9,0
92.0,25.4,57.3,7.11,34.9,2
211.9,69.6,155.9,6.1,73.7,0
108.0,40.4,98.7,5.84,46.0,1
206.5,66.2,176.0,6.44,63.7,0
193.4,75.4,155.3,6.06,74.6,0
46.4,22.6,43.9,4.56,33.8,2
215.8,67.8,150.5,6.72,61.8,0
51.2,22.5,40.4,5.1,34.3,2
113.2,52.6,120.3,5.88,40.8,1
93.5,7.3,46.6,4.8,35.9,2
214.9,79.5,198.4,6.6,62.6,0
199.9,72.4,193.4,6.46,60.6,0
194.0,75.3,170.1,6.38,72.6,0
45.9,15.9,65.0,4.61,19.7,2
106.7,50.8,85.0,5.53,40.2,1
141.2,31.8,137.4,5.74,42.2,1
183.0,77.0,174.8,6.38,71.8,0
73.9,23.3,80.5,7.56,45.8,2
58.4,12.0,83.4,7.94,32.9,2
85.8,24.3,33.2,4.7,34.6,2
108.6,54.8,110.3,5.84,57.0,1
171.7,50.7,121.9,5.62,55.7,1
152.2,52.2,98.3,5.51,41.6,1
159.3,32.1,85.5,5.64,57.9,1
112.0,11.4,97.7,7.71,38.9,2
164.7,45.7,129.0,5.63,49.0,1
212.3,66.1,154.9,6.55,68.8,0
186.0,64.6,186.1,6.58,72.8,0
163.8,33.5,98.3,5.51,45.6,1
177.2,33.2,109.2,5.52,54.1,1
154.4,34.1,113.5,5.51,49.6,1
111.1,35.9,92.7,5.86,52.4,1
79.4,17.8,60.0,4.89,32.6,2
53.8,15.7,42.3,7.45,44.1,2
130.1,55.5,139.9,5.82,55.0,1
126.2,54.8,94.3,5.53,41.3,1
75.4,36.4,83.5,7.2,32.2,2
172.6,58.8,83.1,5.8,47.1,1
130.1,34.7,134.2,5.79,47.3,1
116.5,40.7,105.5,5.52,54.6,1
104.3,58.2,95.6,5.62,45.8,1
30.2,11.2,41.0,5.11,16.5,2
162.8,31.0,120.2,5.9,56.3,1
149.9,47.2,128.5,5.59,49.7,1
213.0,67.0,183.9,6.45,65.3,0
135.9,54.5,86.8,5.7,42.9,1
38.8,26.8,47.6,4.92,33.3,2
214.9,79.7,188.4,6.33,68.4,0
217.2,77.2,171.4,6.6,75.1,0
198.5,66.0,187.4,6.4,64.6,0
164.2,50.8,145.9,5.51,43.7,1
49.3,27.1,54.5,4.98,21.5,2
93.8,27.0,57.5,5.07,24.7,2
153.5,54.0,100.3,5.51,54.0,1
112.0,31.8,133.9,5.68,41.1,1
171.1,33.4,146.0,5.63,56.9,1
69.3,11.6,48.8,4.57,26.0,2
186.1,64.9,158.0,6.15,65.7,0
94.1,7.0,42.8,4.56,20.1,2
116.8,47.7,108.4,5.84,57.1,1
65.1,8.4,42.1,5.22,23.8,2
49.1,26.5,59.3,5.21,25.9,2
195.0,79.0,186.6,6.48,63.1,0
118.3,41.3,121.0,5.7,58.8,1
42.0,24.2,39.2,4.77,20.6,2
162.0,58.7,117.6,5.89,41.4,1
24.7,19.5,65.1,4.97,20.4,2
137.3,55.5,94.9,5.77,51.5,1
146.0,40.8,121.5,5.78,53.1,1
176.1,46.2,144.6,5.52,48.0,1
211.0,69.1,176.2,6.35,68.0,0
194.8,69.3,187.4,6.03,65.0,0
101.9,54.1,98.8,5.71,45.7,1
172.3,45.5,90.9,5.78,55.1,1
111.6,30.2,123.5,5.68,42.6,1
78.5,25.6,93.8,7.28,20.7,2
211.1,71.2,171.2,6.73,62.2,0
111.6,25.2,70.5,7.22,49.5,2
215.7,76.3,167.1,6.21,67.6,0
218.9,63.6,192.7,6.39,64.9,0
58.2,15.0,41.1,5.03,28.8,2
204.6,72.7,152.3,6.3,72.5,0
217.2,73.8,183.8,6.17,73.2,0
185.1,65.7,168.2,6.52,71.4,0
141.0,43.9,81.8,5.64,47.2,1
163.5,44.7,146.7,5.67,58.7,1
159.7,40.1,125.9,5.82,57.6,1
217.5,63.6,153.3,6.59,71.5,0
112.0,42.8,122.5,5.53,56.8,1
110.1,52.2,80.0,5.67,49.9,1
219.3,62.2,169.9,6.78,77.3,0
107.4,56.4,126.2,5.83,56.7,1
212.1,60.1,166.7,6.32,70.7,0
218.5,65.0,174.9,6.24,65.7,0
48.0,14.9,59.9,5.09,16.7,2
194.2,74.4,164.9,6.45,69.5,0
104.6,39.7,134.2,5.78,55.0,1
29.1,26.2,44.5,4.85,30.8,2
196.6,61.7,199.8,6.4,71.9,0
31.6,28.4,64.8,5.37,25.6,2
201.3,61.0,166.8,6.11,61.3,0
202.4,63.1,159.1,6.69,78.9,0
204.3,63.4,153.3,6.76,79.3,0
93.4,6.5,25.4,4.65,29.3,2
129.6,34.8,109.7,5.56,56.9,1
195.4,79.2,195.3,6.16,61.4,0
115.3,10.6,49.2,7.9,33.8,2
28.1,8.0,77.8,5.11,35.3,2
182.7,71.6,167.3,6.5,60.9,0
213.7,62.8,189.8,6.16,63.3,0
65.3,14.4,21.7,5.02,15.3,2
204.7,79.6,181.6,6.21,72.7,0
182.3,79.4,194.2,6.74,79.9,0
72.2,34.3,92.5,7.37,45.8,2
165.4,52.2,119.6,5.88,43.8,1
194.2,79.7,180.3,6.19,62.0,0
77.7,11.5,64.1,7.71,33.5,2
51.2,9.4,29.3,5.24,16.0,2
180.9,65.4,177.1,6.51,65.2,0
180.4,62.0,183.2,6.0,63.2,0
32.1,18.7,36.3,5.33,29.0,2
218.2,72.1,161.4,6.54,72.4,0
121.0,47.4,100.5,5.79,54.4,1
215.6,66.8,168.8,6.08,71.6,0
120.6,51.2,147.7,5.6,52.4,1
159.6,53.3,81.2,5.89,53.8,1
28.3,18.8,47.4,4.61,38.5,2
60.7,31.8,76.0,7.76,43.1,2
212.3,77.9,165.9,6.09,64.6,0
130.3,43.2,105.5,5.55,48.0,1
141.0,49.6,101.5,5.81,54.7,1
132.9,53.8,138.7,5.58,52.5,1
55.6,28.0,43.5,5.26,19.5,2
21.5,23.7,56.0,5.13,35.1,2
58.4,19.4,88.1,7.88,24.1,2
113.8,44.6,107.5,5.56,47.0,1
202.3,78.7,184.8,6.46,61.9,0
165.9,51.5,89.9,5.8,54.6,1
109.7,55.8,114.7,5.68,51.1,1
63.9,33.5,94.6,7.43,42.5,2
58.2,17.3,38.2,5.02,22.8,2
189.9,63.2,193.6,6.18,79.5,0
24.7,8.1,55.8,5.26,16.1,2
83.5,8.3,54.3,4.95,18.5,2
52.5,8.1,21.3,4.82,33.8,2
60.6,7.0,52.4,4.84,29.6,2
165.0,53.3,118.1,5.71,42.7,1
146.9,55.9,92.8,5.53,44.6,1
184.8,74.3,188.0,6.45,75.4,0
49.3,9.7,48.9,5.17,26.8,2
176.2,41.1,82.7,5.51,47.4,1
131.0,51.9,143.4,5.88,51.0,1
177.3,48.4,88.7,5.77,46.2,1
151.9,33.7,103.3,5.87,44.3,1
197.9,65.9,166.4,6.54,75.0,0
219.0,70.3,166.1,6.64,65.4,0
44.3,26.9,76.2,4.79,23.5,2
216.5,64.2,181.1,6.51,74.7,0
218.6,60.1,197.6,6.51,77.4,0
175.6,51.4,104.4,5.62,46.6,1
136.3,52.8,141.6,5.88,55.0,1
120.1,40.5,112.6,5.52,42.7,1
189.4,61.5,158.5,6.42,66.7,0
195.5,65.4,191.4,6.29,65.6,0
203.6,65.4,181.2,6.33,71.0,0
129.4,42.5,110.3,5.75,57.9,1
74.1,27.8,28.4,4.84,28.3,2
88.4,27.7,26.2,4.64,37.7,2
203.2,61.8,193.9,6.21,62.6,0
168.5,38.2,145.6,5.73,48.3,1
118.7,21.4,86.5,7.41,38.8,2
25.5,16.4,53.1,5.07,31.5,2
123.9,31.9,95.7,5.6,49.2,1
118.2,30.0,130.3,5.89,44.3,1
58.8,27.3,26.2,5.19,24.8,2
189.2,73.4,151.0,6.08,76.0,0
79.4,24.3,50.6,4.63,31.1,2
70.3,12.8,35.9,4.67,31.7,2
171.3,53.4,148.0,5.8,47.5,1
72.7,6.9,46.1,4.65,19.4,2
146.4,35.3,105.0,5.63,40.5,1
200.8,71.8,170.0,6.04,66.7,0
214.7,75.5,188.5,6.68,75.2,0
71.8,11.2,29.4,4.64,16.7,2
51.1,10.7,25.7,4.66,34.1,2
76.6,11.5,31.9,4.78,20.8,2
142.8,47.1,115.1,5.62,50.7,1
104.9,44.9,135.6,5.68,41.0,1
184.0,60.4,154.7,6.55,61.4,0
203.6,67.8,171.9,6.72,67.0,0
114.2,53.2,118.1,5.66,42.5,1
88.1,12.3,97.3,7.32,45.8,2
107.0,36.4,121.3,5.79,59.0,1
203.8,67.6,198.5,6.67,76.8,0
200.6,75.7,169.8,6.5,77.2,0
139.3,33.1,125.3,5.83,47.2,1
176.2,32.6,127.4,5.7,47.4,1
121.9,58.2,102.9,5.69,43.7,1
157.1,32.0,128.8,5.72,41.6,1
184.7,73.0,187.3,6.47,79.2,0
53.8,31.5,68.5,7.86,31.5,2
217.9,79.7,187.7,6.3,61.7,0
127.3,58.3,124.2,5.83,42.5,1
73.9,23.0,90.9,7.43,43.8,2
112.8,35.4,51.0,7.96,31.3,2
99.7,13.2,90.3,7.7,40.9,2
49.5,27.7,57.9,5.1,30.2,2
155.4,51.1,118.8,5.88,49.4,1
96.5,19.5,24.5,4.57,37.8,2
180.5,79.4,152.2,6.71,70.6,0
216.9,61.8,159.8,6.04,66.5,0
114.7,53.3,111.6,5.69,42.5,1
123.3,34.0,125.0,5.8,46.0,1
189.5,66.5,187.3,6.52,77.0,0
201.9,73.8,182.6,6.18,74.2,0
159.7,33.7,137.0,5.81,53.5,1
196.8,78.3,168.1,6.46,72.6,0
177.5,44.0,139.6,5.74,47.1,1
24.9,6.7,53.9,5.01,36.1,2
176.4,31.5,114.8,5.79,56.4,1
51.6,12.8,20.6,5.24,34.2,2
207.9,70.7,165.5,6.65,73.7,0
112.8,30.4,118.6,5.71,53.7,1
208.9,77.1,191.5,6.32,73.4,0
155.6,45.7,86.7,5.6,40.2,1
102.1,31.9,112.0,5.86,50.2,1
82.0,19.4,44.4,5.36,28.0,2
26.1,5.1,59.6,5.08,24.9,2
25.3,7.3,78.9,4.79,33.0,2
187.1,73.1,161.9,6.08,64.9,0
174.3,37.5,109.6,5.85,56.0,1
89.5,29.9,80.7,7.94,49.9,2
82.2,12.4,22.4,5.03,24.5,2
58.7,12.1,94.6,7.27,44.6,2
80.4,20.0,65.0,4.54,35.1,2
157.0,55.7,120.9,5.66,47.8,1
54.8,15.6,73.3,7.36,32.5,2
35.1,9.4,40.2,4.89,34.9,2
200.7,61.8,167.5,6.03,61.6,0
141.9,47.3,80.7,5.69,58.3,1
124.1,32.3,107.8,5.57,53.2,1
209.2,75.4,153.7,6.29,62.3,0
136.8,31.7,118.8,5.88,43.3,1
37.0,6.6,55.1,5.16,15.8,2
212.6,64.5,161.2,6.43,71.9,0
188.2,65.9,194.8,6.01,61.7,0
114.2,19.8,62.3,7.78,30.2,2
191.6,63.2,196.5,6.65,72.7,0
103.0,56.2,111.8,5.75,52.5,1
69.0,22.8,30.0,4.68,36.4,2
26.3,16.4,57.2,5.25,33.8,2
176.3,42.5,101.5,5.7,48.4,1
119.0,34.1,104.0,5.68,54.2,1
122.9,43.6,141.4,5.78,41.2,1
50.7,10.8,25.6,4.78,17.3,2
217.0,63.6,178.4,6.73,60.7,0
69.8,11.0,61.6,4.88,25.6,2
195.0,65.7,193.4,6.18,79.3,0
156.2,58.5,119.3,5.6,48.3,1
199.7,69.5,158.7,6.35,68.0,0
70.4,10.8,62.1,4.58,19.8,2
192.6,70.1,152.1,6.12,79.7,0
44.3,19.7,73.0,5.23,29.0,2
154.2,32.0,92.1,5.84,44.3,1
202.8,75.2,193.8,6.27,76.4,0
192.8,76.9,151.2,6.65,65.6,0
80.8,14.5,68.8,4.65,15.7,2
158.7,31.4,142.3,5.84,52.7,1
191.0,71.1,182.6,6.66,64.1,0
214.9,78.0,171.1,6.22,71.8,0
218.5,66.8,181.6,6.75,62.1,0
130.8,41.2,103.5,5.72,42.9,1
189.6,61.5,156.4,6.1,63.0,0
72.5,27.9,99.7,7.49,47.6,2
162.8,50.5,83.5,5.53,47.7,1
73.4,21.3,75.8,4.77,15.0,2
154.9,51.1,139.5,5.61,55.3,1
208.5,77.9,175.6,6.43,62.1,0
198.4,79.6,174.6,6.26,72.7,0
103.5,33.6,118.5,5.64,53.9,1
75.7,15.9,59.4,5.25,19.1,2
181.4,69.3,177.1,6.23,71.8,0
34.0,22.3,22.4,4.86,27.4,2
100.4,18.6,92.8,7.14,26.9,2
119.0,33.5,93.6,5.85,52.3,1
190.3,69.3,193.4,6.58,74.9,0
211.8,70.1,178.8,6.39,63.9,0
138.0,30.6,97.9,5.8,42.6,1
190.5,71.9,152.6,6.4,71.9,0
112.8,13.6,59.7,7.83,37.9,2
34.0,28.7,46.2,4.98,36.0,2
79.3,8.0,65.6,4.71,31.3,2
205.7,70.5,186.6,6.07,61.2,0
124.1,54.1,99.4,5.85,42.1,1
81.5,23.3,31.1,4.58,31.8,2
104.8,57.1,104.3,5.54,49.2,1
108.3,48.6,94.9,5.75,52.4,1
105.8,32.2,78.7,7.24,36.4,2
216.0,67.7,177.2,6.73,72.5,0
187.4,64.2,168.5,6.39,72.4,0
94.1,9.3,56.7,4.7,22.4,2
191.8,67.7,192.6,6.25,63.4,0
125.6,51.4,112.8,5.65,47.5,1
116.7,19.9,79.7,7.78,44.4,2
210.4,71.9,173.6,6.33,67.0,0
150.3,56.5,122.3,5.85,53.8,1
151.9,57.7,84.8,5.52,45.4,1
67.9,21.1,24.8,5.36,35.1,2
115.2,39.4,95.6,5.64,41.3,1
199.8,70.5,171.4,6.02,62.2,0
53.8,12.9,53.3,5.27,19.8,2
21.9,25.0,77.5,4.62,20.6,2
88.4,11.9,47.6,5.06,24.9,2
127.6,33.3,90.4,5.59,44.8,1
101.5,33.6,108.5,5.7,47.7,1
27.3,23.0,74.0,4.89,21.2,2
183.7,77.9,195.0,6.51,66.8,0
186.2,74.3,182.9,6.02,64.4,0
205.5,68.0,163.7,6.79,68.2,0
47.1,8.2,25.6,5.25,37.0,2
79.2,26.8,64.8,5.04,30.7,2
63.2,26.7,40.3,5.16,30.8,2
62.7,6.9,53.4,5.32,24.5,2
184.4,76.9,156.4,6.32,75.9,0
181.2,66.2,185.2,6.16,73.5,0
63.4,11.9,38.1,4.82,29.9,2
128.2,52.8,97.3,5.73,46.8,1
44.6,13.2,24.7,4.9,21.3,2
193.0,74.6,181.9,6.71,69.4,0
197.9,70.7,162.1,6.22,67.5,0
169.5,48.9,116.8,5.63,46.3,1
184.2,64.8,199.3,6.11,70.0,0
26.0,14.3,67.4,5.31,19.9,2
69.9,18.7,62.6,7.45,36.3,2
204.0,73.3,158.8,6.73,68.4,0
218.0,62.9,196.3,6.39,65.2,0
78.2,26.2,32.0,5.03,31.8,2
35.7,15.0,64.3,4.59,21.7,2
188.3,60.5,159.1,6.47,68.4,0
131.5,46.8,116.8,5.74,54.5,1
72.0,17.8,26.1,4.66,28.6,2
44.2,24.7,23.4,4.88,26.0,2
26.9,18.4,69.9,5.22,19.2,2
68.9,18.5,56.9,5.28,29.1,2
55.6,14.4,57.9,7.18,47.3,2
149.4,32.1,127.1,5.6,53.6,1
116.6,32.1,75.8,7.89,21.5,2
189.8,79.5,169.7,6.71,72.6,0
106.8,10.4,79.0,7.7,44.0,2
216.3,71.7,170.0,6.37,78.9,0
72.0,28.9,46.7,4.82,24.6,2
187.6,60.7,173.6,6.45,61.3,0
214.5,72.5,166.5,6.05,66.2,0
175.5,45.2,100.7,5.53,49.5,1
217.6,79.1,195.7,6.3,60.3,0
63.4,14.4,96.3,7.93,46.6,2
67.5,12.2,79.8,7.64,32.5,2
150.6,58.4,121.6,5.64,52.3,1
83.8,39.6,85.3,7.32,36.2,2
126.9,32.1,108.3,5.62,52.9,1
217.5,60.8,156.1,6.36,78.7,0
95.2,9.2,53.5,5.02,26.8,2
