N,P,K,pH,moisture,yield_kg
110.5,46.3,210.9,7.44,29.2,47.618470073023886
73.2,51.4,181.6,6.09,39.2,73.24098947349759
42.5,37.9,232.9,7.04,47.6,71.47068619476015
40.3,13.8,70.4,6.75,49.5,57.965483469678325
52.5,33.5,65.1,6.26,48.8,67.82689074209392
91.4,66.2,111.8,5.91,83.5,41.31602240266388
112.9,10.3,89.9,5.74,70.0,35.88227094170987
105.8,33.3,267.9,6.73,62.6,62.03728851550824
56.4,37.9,104.8,7.05,41.7,71.50003294757673
144.1,47.6,294.0,6.79,77.7,45.06429505184463
115.9,74.4,134.2,6.56,86.9,37.08559762841205
92.1,34.2,95.5,5.58,77.5,48.87121077343466
99.5,34.3,247.4,7.44,20.1,46.823497413167395
74.5,61.6,214.7,7.1,64.5,66.8151701255521
52.2,41.7,174.5,6.09,23.6,68.67645855210463
66.3,25.7,188.8,7.46,38.0,61.27311139932056
118.5,41.7,229.8,6.7,24.2,53.66578167348421
21.9,19.9,107.1,6.66,62.3,58.932300683997866
35.1,22.3,299.1,7.0,68.1,53.558602907324214
26.0,44.9,293.7,7.12,28.0,51.75817936597302
25.3,39.3,212.6,6.81,46.9,71.90581616511308
131.2,74.0,99.9,5.76,51.9,32.88525571867775
111.5,35.4,220.1,6.18,45.8,65.25958228721413
81.6,50.6,68.0,7.36,28.5,44.52869371723841
32.7,54.3,57.7,5.95,49.3,51.938034666231
83.9,10.9,114.4,6.24,72.6,51.919797657027104
81.6,56.4,165.7,6.36,25.0,63.515690790420614
42.5,22.5,267.1,6.38,25.6,61.05645411245278
76.4,77.3,231.8,6.73,44.8,62.18448467810845
71.8,20.4,235.7,7.39,85.9,48.98632719201322
100.1,39.0,156.4,5.98,66.8,63.61744109690017
102.6,16.0,136.5,5.74,67.5,41.98706623417643
25.9,79.8,142.8,5.89,45.3,43.503143536837996
68.7,45.2,296.9,7.27,61.6,60.1819133186016
101.4,51.7,60.0,6.79,20.7,42.297945765272054
85.4,14.7,266.8,6.07,64.5,59.51476952973635
131.3,62.5,194.7,7.13,83.9,45.19287897626888
105.6,24.7,159.7,7.22,62.9,57.47047087082288
41.2,72.9,231.3,7.19,81.2,47.511250620220814
29.2,24.4,171.7,7.34,70.7,55.256572122110626
103.5,23.3,268.4,6.0,28.4,44.16731072680945
23.4,12.6,275.2,7.01,83.2,42.09635494113848
96.2,43.0,155.4,6.42,24.7,61.03048313477965
142.2,49.5,119.2,7.18,57.4,50.49745183875902
94.8,14.6,198.1,6.96,29.9,49.769059334388714
70.5,64.3,278.1,7.05,20.8,49.56605032980033
103.6,41.7,102.7,6.81,49.5,66.10464728381393
79.6,46.7,205.7,5.85,40.7,67.06201304150918
90.9,40.9,207.9,6.59,54.0,78.99521535035512
142.4,38.1,233.3,7.47,60.4,54.077160964380866
70.2,49.2,82.9,7.37,23.1,44.571766922571484
145.0,20.9,229.0,5.59,28.6,38.119206597593774
137.7,22.7,277.3,5.83,59.1,46.66785858684065
45.5,70.3,94.9,5.76,44.0,48.39975393531987
29.0,76.2,109.4,6.95,71.0,43.69619262186911
33.1,36.1,292.8,7.14,65.7,59.16590973570529
22.4,29.0,95.2,5.93,79.2,48.228244113363786
32.3,55.1,263.6,6.51,68.5,71.32177815803288
108.8,38.6,173.1,7.18,50.1,63.812213937319775
29.3,11.8,111.8,6.97,67.1,57.284153982013194
61.5,20.9,267.7,6.58,39.3,66.77292660268698
129.8,60.1,161.3,6.68,41.4,58.689980110629854
23.0,56.1,178.7,6.52,75.2,64.54357614305208
125.9,11.9,139.8,6.1,51.2,56.39348709372879
56.6,25.5,198.2,6.63,75.9,70.98770460453238
35.4,26.2,90.9,6.88,77.6,51.574421050744185
110.6,57.0,147.8,7.25,80.0,41.29043524074973
101.8,11.4,292.4,6.77,84.2,35.556201953495595
134.1,17.3,114.5,7.02,50.2,44.28172374774702
115.6,66.0,214.2,5.82,42.3,45.56203305951379
124.5,22.5,131.3,6.42,60.8,58.70747289868087
56.7,55.7,243.4,5.52,46.0,63.08766591070468
43.1,26.7,82.7,5.99,62.1,65.77208831367504
117.6,17.0,292.5,6.95,69.4,47.5925165321161
124.9,27.0,163.4,7.48,68.2,45.253879291248786
148.8,60.6,109.0,5.7,46.2,36.671742232990574
73.6,69.9,68.4,6.3,31.7,51.204223035866065
68.4,68.1,92.4,7.1,50.1,50.502064797935304
120.9,37.8,179.9,5.91,30.0,57.408505253248435
64.3,56.8,134.3,6.61,82.3,67.88569240607126
141.0,24.3,257.2,6.97,44.2,50.43845903542913
131.6,30.5,157.7,6.73,30.8,49.41146526788805
75.8,72.7,112.2,5.88,21.8,44.89816665053967
117.6,10.9,204.3,6.21,65.2,54.64572805462795
118.1,16.0,226.7,7.07,64.6,54.82018089064444
33.4,24.6,91.8,6.61,43.8,57.41361386345318
137.3,11.9,91.9,5.51,25.0,19.93948736806641
85.7,22.7,59.2,7.02,48.7,53.30210579570327
127.4,50.8,234.1,5.57,41.8,48.521836345400814
61.6,39.5,216.0,6.99,67.4,74.00522443734192
136.4,72.5,168.7,5.9,62.4,47.07597345855664
70.6,67.2,261.0,7.42,45.5,50.6632408304649
21.4,33.9,251.4,6.24,35.3,62.52298189490909
137.7,28.2,196.3,6.15,89.2,49.582523380138916
31.9,36.6,267.1,5.8,51.8,64.53328015953001
61.5,51.3,101.5,6.11,68.2,67.94047245789133
143.5,28.8,78.0,7.25,29.8,30.110402211399272
143.6,53.7,117.4,7.49,54.0,38.643091507914775
94.5,38.7,64.3,6.24,21.9,52.89322754345317
102.1,48.6,182.8,6.4,55.4,73.28756903737134
78.3,40.5,284.2,6.94,87.5,54.84950420906217
58.1,30.6,59.8,7.27,46.9,61.49054766671178
62.7,76.4,80.5,6.69,22.7,46.632489359089945
107.4,63.5,163.0,6.28,22.2,52.192842037784025
117.8,19.8,283.5,6.33,47.2,54.85629183982504
122.9,70.8,129.0,6.89,31.2,45.73742017147787
122.7,44.1,176.8,5.51,21.6,46.83361723652254
31.9,72.6,60.4,6.74,72.9,45.07549410349886
84.3,66.0,87.1,6.21,52.1,60.067462135867196
27.5,39.8,296.7,7.09,40.2,58.111224763528035
91.4,11.6,291.3,5.69,83.0,40.04437622939856
77.4,28.8,51.2,6.68,28.1,51.963357652159054
135.4,47.9,288.0,6.46,86.9,49.60984469291649
65.6,54.3,209.8,6.78,42.0,78.39225812721527
35.2,28.1,267.0,5.63,82.2,43.615191082621074
38.6,19.8,163.7,6.66,62.2,67.42779622860296
119.0,68.4,178.9,6.62,77.9,44.424009974224255
100.4,78.9,172.2,6.62,88.9,45.29265683367053
33.1,46.8,216.7,6.71,40.2,74.86784466454009
30.9,22.0,84.9,6.85,87.3,50.53282411902459
111.1,29.1,57.5,7.11,47.3,46.31103935600002
29.5,11.3,127.0,6.04,47.0,59.262120777818296
126.8,74.0,226.2,7.15,43.8,39.34216481064165
111.8,18.2,100.5,6.5,57.9,49.89943709378627
30.6,50.4,218.4,5.65,30.8,54.067685045986906
31.0,29.2,292.5,5.62,58.8,55.64926599643073
148.3,48.8,73.5,6.17,57.9,51.04180559130527
68.7,55.6,218.2,7.07,73.3,59.42038860641208
68.2,68.1,160.9,6.92,78.4,58.18880372088714
125.7,24.4,267.0,7.08,50.8,47.5690363376064
143.1,10.8,94.3,6.53,41.2,45.80430606203949
148.2,19.6,223.2,6.38,38.2,56.32350299563577
117.9,73.0,259.5,5.79,33.6,32.94766175611763
68.9,71.2,286.2,6.16,24.0,47.99607310647636
30.9,51.8,220.8,6.37,44.0,69.38103784774098
121.0,52.0,174.3,5.68,38.9,49.14869180451801
92.6,56.6,204.5,5.94,87.6,55.00944836562111
75.1,22.3,267.2,6.7,59.0,67.98070221344463
137.8,74.0,192.7,6.97,44.3,48.81122963507638
34.5,39.3,57.6,7.5,60.6,49.49852006740926
84.0,36.8,282.7,7.37,29.7,48.21057007399835
21.5,46.3,222.4,6.79,51.1,70.87907298042056
80.9,13.3,219.1,6.34,63.8,65.47099439620126
27.3,21.6,103.9,6.77,54.2,58.943304734803164
35.4,61.7,214.7,7.07,48.1,59.74763779097735
35.3,15.8,148.5,5.74,89.6,49.26468395210207
104.4,52.2,212.8,6.32,81.6,59.782980179345046
117.0,27.2,76.6,7.18,63.6,42.06709010553414
95.8,37.3,214.5,6.27,59.9,74.51589854763347
145.1,30.2,299.9,6.64,63.4,54.88035647841336
68.7,34.9,62.1,6.68,34.1,61.86870498552578
57.1,60.3,294.3,5.87,47.7,61.13598309332426
132.9,30.8,151.7,6.22,22.8,51.92177904175208
49.1,49.6,267.7,6.17,53.3,72.14088875418638
145.2,43.3,245.6,5.55,58.0,49.52120504534433
21.6,56.5,191.8,5.55,35.9,49.36400235665251
146.1,75.6,234.6,7.16,87.5,24.066053215569028
25.6,61.3,269.6,6.05,83.7,43.07084074715168
135.8,25.0,151.0,6.54,70.6,61.344987516411365
88.6,12.2,131.8,6.1,57.3,63.38687156756733
149.1,28.4,216.9,7.38,80.9,41.51421002556837
29.6,51.7,252.0,6.02,29.1,58.198091741243765
92.0,13.6,240.6,6.36,75.3,59.25764946295321
146.0,44.7,249.5,7.25,28.7,52.87334539520239
88.0,51.8,158.9,7.18,75.6,60.41680086467212
101.8,33.4,254.5,5.87,39.3,55.945201414153395
110.4,64.0,80.1,7.11,81.4,30.35162496164663
79.1,17.5,186.1,6.42,86.1,56.83877845426711
101.6,15.3,51.4,6.47,30.4,43.116192775962645
96.0,61.0,131.1,5.77,52.4,50.37004291708559
137.2,44.7,141.6,5.66,88.7,34.26062092035314
25.9,58.2,149.0,6.96,53.8,60.33065810573604
56.5,40.4,223.9,6.49,80.4,71.65660167262494
143.6,27.2,147.1,6.37,61.2,65.7046996095416
135.7,67.3,162.2,6.96,46.3,51.96555999195988
79.2,66.0,109.4,7.03,40.0,52.73205743549842
100.6,58.6,143.3,5.82,34.2,52.25270487086993
56.1,29.1,106.8,6.72,73.3,67.14123064306587
44.5,51.3,68.3,5.77,47.1,52.87896590791643
80.3,35.3,200.9,7.0,55.8,79.09909597946935
65.9,16.4,217.1,6.81,54.5,74.57462546262038
95.9,74.2,204.9,7.41,60.4,45.85536471713927
30.1,19.6,165.9,5.64,80.6,46.880574539811086
146.7,76.5,144.9,5.61,88.7,21.915054097455943
